sequence_names, nt_proportion0, nt_proportion1, nt_proportion2, nt_proportion3, dinucleotide_proportion0, dinucleotide_proportion1, dinucleotide_proportion2, dinucleotide_proportion3, dinucleotide_proportion4, dinucleotide_proportion5, dinucleotide_proportion6, dinucleotide_proportion7, dinucleotide_proportion8, dinucleotide_proportion9, dinucleotide_proportion10, dinucleotide_proportion11, dinucleotide_proportion12, dinucleotide_proportion13, dinucleotide_proportion14, dinucleotide_proportion15, gc_content, gc_ratio, sequence_length, bp_number, dP, bp_proportion0, bp_proportion1, bp_proportion2, bp_proportion_stem0, bp_proportion_stem1, bp_proportion_stem2, triplets0, triplets1, triplets2, triplets3, triplets4, triplets5, triplets6, triplets7, triplets8, triplets9, triplets10, triplets11, triplets12, triplets13, triplets14, triplets15, triplets16, triplets17, triplets18, triplets19, triplets20, triplets21, triplets22, triplets23, triplets24, triplets25, triplets26, triplets27, triplets28, triplets29, triplets30, triplets31, mfe, efe, ensemble_frequency, diversity, mfe_efe_difference, dQ, dG, mfei1, mfei2, mfei4
dev-mir-D23 MI0023602, 0.128571, 0.314286, 0.328571, 0.228571, 0.014493, 0.057971, 0.043478, 0.014493, 0.043478, 0.057971, 0.115942, 0.086957, 0.057971, 0.101449, 0.057971, 0.115942, 0.014493, 0.101449, 0.101449, 0.014493, 0.642857, 1.045455, 70.000000, 27.000000, 0.385714, 0.222222, 0.592593, 0.185185, 0.044444, 0.118519, 0.037037, 0.101695, 0.135593, 0.186441, 0.186441, 0.000000, 0.084746, 0.033898, 0.000000, 0.033898, 0.033898, 0.000000, 0.033898, 0.000000, 0.016949, 0.000000, 0.000000, 0.000000, 0.016949, 0.101695, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.016949, 0.000000, 0.000000, 0.000000, 0.000000, 0.016949, 0.000000, -34.900000, -35.420000, 0.427408, 9.020000, 0.007429, 0.320287, -0.498571, -0.775556, -0.099714, -1.292593
prv-mir-LLT5 MI0022076, 0.150000, 0.262500, 0.362500, 0.225000, 0.000000, 0.025316, 0.037975, 0.088608, 0.063291, 0.113924, 0.063291, 0.025316, 0.088608, 0.050633, 0.151899, 0.075949, 0.000000, 0.063291, 0.113924, 0.037975, 0.625000, 1.380952, 80.000000, 31.000000, 0.387500, 0.290323, 0.516129, 0.193548, 0.072581, 0.129032, 0.048387, 0.097222, 0.125000, 0.166667, 0.138889, 0.013889, 0.027778, 0.083333, 0.027778, 0.027778, 0.027778, 0.055556, 0.000000, 0.013889, 0.000000, 0.000000, 0.013889, 0.013889, 0.055556, 0.041667, 0.041667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.027778, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -45.000000, -45.520000, 0.427407, 6.710000, 0.006500, 0.203687, -0.562500, -0.900000, -0.140625, -1.451613
dev-mir-D15 MI0023594, 0.230769, 0.200000, 0.338462, 0.230769, 0.031250, 0.015625, 0.062500, 0.125000, 0.078125, 0.015625, 0.078125, 0.031250, 0.046875, 0.125000, 0.093750, 0.062500, 0.078125, 0.031250, 0.109375, 0.015625, 0.538462, 1.692308, 65.000000, 26.000000, 0.400000, 0.346154, 0.461538, 0.192308, 0.115385, 0.153846, 0.064103, 0.120690, 0.120690, 0.172414, 0.137931, 0.017241, 0.051724, 0.051724, 0.000000, 0.051724, 0.017241, 0.068966, 0.000000, 0.000000, 0.000000, 0.017241, 0.000000, 0.000000, 0.017241, 0.034483, 0.068966, 0.000000, 0.000000, 0.017241, 0.017241, 0.017241, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -29.500000, -30.670000, 0.150762, 6.910000, 0.018000, 0.271221, -0.453846, -0.842857, -0.151282, -1.134615
hsv2-mir-H4 MI0010693, 0.171053, 0.355263, 0.302632, 0.171053, 0.026667, 0.080000, 0.053333, 0.013333, 0.080000, 0.106667, 0.106667, 0.053333, 0.040000, 0.106667, 0.080000, 0.080000, 0.026667, 0.066667, 0.053333, 0.026667, 0.657895, 0.851852, 76.000000, 30.000000, 0.394737, 0.233333, 0.666667, 0.100000, 0.058333, 0.166667, 0.025000, 0.058824, 0.147059, 0.191176, 0.102941, 0.014706, 0.073529, 0.044118, 0.029412, 0.044118, 0.073529, 0.000000, 0.029412, 0.000000, 0.014706, 0.000000, 0.000000, 0.029412, 0.044118, 0.073529, 0.014706, 0.000000, 0.000000, 0.000000, 0.000000, 0.014706, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -43.400000, -44.090000, 0.325472, 3.450000, 0.009079, 0.110250, -0.571053, -0.868000, -0.142763, -1.446667
mdv1-mir-M8 MI0005100, 0.208333, 0.233333, 0.233333, 0.325000, 0.050420, 0.058824, 0.033613, 0.058824, 0.025210, 0.058824, 0.075630, 0.075630, 0.075630, 0.025210, 0.058824, 0.075630, 0.050420, 0.092437, 0.067227, 0.117647, 0.466667, 1.000000, 120.000000, 41.000000, 0.341667, 0.414634, 0.487805, 0.097561, 0.069106, 0.081301, 0.016260, 0.118644, 0.084746, 0.101695, 0.135593, 0.016949, 0.025424, 0.059322, 0.016949, 0.000000, 0.008475, 0.000000, 0.033898, 0.033898, 0.008475, 0.008475, 0.025424, 0.000000, 0.059322, 0.042373, 0.025424, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.016949, 0.016949, 0.050847, 0.025424, 0.033898, 0.008475, 0.042373, -46.800000, -48.410000, 0.073604, 5.330000, 0.013417, 0.112614, -0.390000, -0.835714, -0.065000, -1.141463
ebv-mir-BART3 MI0003725, 0.215190, 0.227848, 0.291139, 0.265823, 0.051282, 0.064103, 0.089744, 0.012821, 0.076923, 0.076923, 0.025641, 0.051282, 0.025641, 0.038462, 0.064103, 0.153846, 0.064103, 0.038462, 0.115385, 0.051282, 0.518987, 1.277778, 79.000000, 30.000000, 0.379747, 0.333333, 0.500000, 0.166667, 0.083333, 0.125000, 0.041667, 0.111111, 0.158730, 0.222222, 0.174603, 0.015873, 0.015873, 0.047619, 0.031746, 0.031746, 0.031746, 0.015873, 0.031746, 0.000000, 0.000000, 0.000000, 0.000000, 0.031746, 0.031746, 0.015873, 0.031746, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -40.200000, -40.970000, 0.288569, 1.980000, 0.009747, 0.072945, -0.508861, -0.980488, -0.127215, -1.340000
mdv2-mir-M26 MI0005894, 0.129032, 0.290323, 0.322581, 0.258065, 0.016393, 0.032787, 0.049180, 0.032787, 0.049180, 0.098361, 0.081967, 0.065574, 0.065574, 0.049180, 0.081967, 0.114754, 0.000000, 0.098361, 0.114754, 0.049180, 0.612903, 1.111111, 62.000000, 24.000000, 0.387097, 0.291667, 0.500000, 0.208333, 0.097222, 0.166667, 0.069444, 0.122449, 0.142857, 0.224490, 0.204082, 0.020408, 0.040816, 0.020408, 0.020408, 0.000000, 0.040816, 0.040816, 0.020408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020408, 0.061224, 0.020408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -34.000000, -35.150000, 0.154377, 4.340000, 0.018548, 0.157473, -0.548387, -0.894737, -0.182796, -1.416667
ebv-mir-BART5 MI0003727, 0.224719, 0.269663, 0.292135, 0.213483, 0.079545, 0.056818, 0.045455, 0.045455, 0.056818, 0.068182, 0.068182, 0.079545, 0.045455, 0.090909, 0.079545, 0.079545, 0.045455, 0.056818, 0.090909, 0.011364, 0.561798, 1.083333, 89.000000, 33.000000, 0.370787, 0.303030, 0.545455, 0.151515, 0.075758, 0.136364, 0.037879, 0.049383, 0.148148, 0.160494, 0.111111, 0.037037, 0.037037, 0.037037, 0.037037, 0.049383, 0.024691, 0.012346, 0.012346, 0.037037, 0.012346, 0.000000, 0.000000, 0.037037, 0.024691, 0.061728, 0.024691, 0.000000, 0.000000, 0.000000, 0.000000, 0.024691, 0.012346, 0.000000, 0.012346, 0.012346, 0.012346, 0.000000, 0.012346, -38.400000, -40.030000, 0.071487, 6.540000, 0.018315, 0.165370, -0.431461, -0.768000, -0.107865, -1.163636
mdv2-mir-M21 MI0005889, 0.186667, 0.293333, 0.346667, 0.173333, 0.013514, 0.067568, 0.040541, 0.067568, 0.040541, 0.067568, 0.135135, 0.054054, 0.135135, 0.081081, 0.108108, 0.013514, 0.000000, 0.067568, 0.067568, 0.040541, 0.640000, 1.181818, 75.000000, 29.000000, 0.386667, 0.241379, 0.689655, 0.068966, 0.080460, 0.229885, 0.022989, 0.060606, 0.181818, 0.196970, 0.106061, 0.045455, 0.045455, 0.030303, 0.015152, 0.030303, 0.030303, 0.015152, 0.030303, 0.000000, 0.000000, 0.030303, 0.000000, 0.000000, 0.045455, 0.075758, 0.015152, 0.000000, 0.000000, 0.000000, 0.000000, 0.015152, 0.000000, 0.000000, 0.015152, 0.015152, 0.000000, 0.000000, 0.000000, -36.500000, -37.960000, 0.093204, 7.880000, 0.019467, 0.257595, -0.486667, -0.760417, -0.162222, -1.258621
hsv1-mir-H6 MI0008941, 0.127907, 0.302326, 0.372093, 0.197674, 0.011765, 0.023529, 0.058824, 0.035294, 0.047059, 0.152941, 0.058824, 0.047059, 0.047059, 0.023529, 0.223529, 0.070588, 0.023529, 0.094118, 0.035294, 0.047059, 0.674419, 1.230769, 86.000000, 32.000000, 0.372093, 0.187500, 0.687500, 0.125000, 0.062500, 0.229167, 0.041667, 0.051948, 0.155844, 0.207792, 0.103896, 0.012987, 0.025974, 0.077922, 0.012987, 0.012987, 0.025974, 0.000000, 0.012987, 0.000000, 0.012987, 0.038961, 0.025974, 0.012987, 0.077922, 0.025974, 0.012987, 0.000000, 0.000000, 0.000000, 0.000000, 0.038961, 0.012987, 0.000000, 0.025974, 0.000000, 0.000000, 0.012987, 0.000000, -50.300000, -51.870000, 0.078847, 15.140000, 0.018256, 0.470054, -0.584884, -0.867241, -0.194961, -1.571875
ttv-mir-T1 MI0032971, 0.256410, 0.256410, 0.282051, 0.205128, 0.077922, 0.064935, 0.077922, 0.038961, 0.103896, 0.064935, 0.051948, 0.038961, 0.038961, 0.051948, 0.090909, 0.090909, 0.038961, 0.064935, 0.064935, 0.038961, 0.538462, 1.100000, 78.000000, 28.000000, 0.358974, 0.392857, 0.535714, 0.071429, 0.130952, 0.178571, 0.023810, 0.060606, 0.106061, 0.136364, 0.090909, 0.045455, 0.075758, 0.030303, 0.045455, 0.090909, 0.060606, 0.045455, 0.015152, 0.000000, 0.000000, 0.000000, 0.000000, 0.045455, 0.030303, 0.075758, 0.045455, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -34.900000, -35.460000, 0.400917, 1.850000, 0.007179, 0.047941, -0.447436, -0.830952, -0.149145, -1.246429
hbv-mir-B14RC MI0026326, 0.164384, 0.260274, 0.410959, 0.164384, 0.027778, 0.041667, 0.083333, 0.013889, 0.013889, 0.083333, 0.055556, 0.111111, 0.111111, 0.041667, 0.208333, 0.041667, 0.013889, 0.083333, 0.069444, 0.000000, 0.671233, 1.578947, 73.000000, 29.000000, 0.397260, 0.206897, 0.620690, 0.172414, 0.051724, 0.155172, 0.043103, 0.046154, 0.200000, 0.246154, 0.123077, 0.015385, 0.030769, 0.046154, 0.015385, 0.046154, 0.000000, 0.015385, 0.000000, 0.030769, 0.000000, 0.015385, 0.000000, 0.015385, 0.030769, 0.046154, 0.015385, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.015385, 0.030769, 0.000000, 0.015385, 0.000000, 0.000000, 0.000000, -45.900000, -46.460000, 0.404054, 4.170000, 0.007671, 0.146348, -0.628767, -0.936735, -0.157192, -1.582759
mdv1-mir-M10 MI0006988, 0.217391, 0.231884, 0.246377, 0.304348, 0.058824, 0.044118, 0.073529, 0.044118, 0.044118, 0.029412, 0.058824, 0.102941, 0.073529, 0.029412, 0.044118, 0.088235, 0.044118, 0.132353, 0.073529, 0.058824, 0.478261, 1.062500, 69.000000, 23.000000, 0.333333, 0.391304, 0.434783, 0.173913, 0.391304, 0.434783, 0.173913, 0.114754, 0.098361, 0.147541, 0.163934, 0.016393, 0.032787, 0.016393, 0.032787, 0.016393, 0.000000, 0.000000, 0.000000, 0.000000, 0.032787, 0.016393, 0.032787, 0.016393, 0.016393, 0.049180, 0.016393, 0.000000, 0.000000, 0.000000, 0.000000, 0.032787, 0.016393, 0.000000, 0.016393, 0.049180, 0.049180, 0.000000, 0.016393, -26.200000, -27.110000, 0.227853, 3.850000, 0.013188, 0.170916, -0.379710, -0.793939, -0.379710, -1.139130
dev-mir-D3 MI0023582, 0.160714, 0.142857, 0.339286, 0.357143, 0.018182, 0.036364, 0.054545, 0.054545, 0.072727, 0.000000, 0.036364, 0.036364, 0.000000, 0.072727, 0.109091, 0.145455, 0.072727, 0.036364, 0.145455, 0.109091, 0.482143, 2.375000, 56.000000, 21.000000, 0.375000, 0.285714, 0.285714, 0.428571, 0.095238, 0.095238, 0.142857, 0.146341, 0.073171, 0.243902, 0.317073, 0.000000, 0.024390, 0.024390, 0.024390, 0.024390, 0.000000, 0.048780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.024390, 0.048780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -16.300000, -17.680000, 0.107359, 5.590000, 0.024643, 0.260917, -0.291071, -0.603704, -0.097024, -0.776190
hbv-mir-B2 MI0026319, 0.121212, 0.409091, 0.409091, 0.060606, 0.015385, 0.061538, 0.046154, 0.000000, 0.030769, 0.123077, 0.215385, 0.046154, 0.076923, 0.153846, 0.153846, 0.015385, 0.000000, 0.061538, 0.000000, 0.000000, 0.818182, 1.000000, 66.000000, 25.000000, 0.378788, 0.080000, 0.880000, 0.040000, 0.020000, 0.220000, 0.010000, 0.017544, 0.280702, 0.245614, 0.052632, 0.017544, 0.035088, 0.052632, 0.000000, 0.017544, 0.017544, 0.000000, 0.000000, 0.052632, 0.017544, 0.000000, 0.000000, 0.000000, 0.035088, 0.070175, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017544, 0.017544, 0.035088, 0.000000, 0.000000, 0.000000, 0.017544, 0.000000, -41.100000, -41.480000, 0.535791, 2.860000, 0.005758, 0.105745, -0.622727, -0.761111, -0.155682, -1.644000
hsv2-mir-H3 MI0010692, 0.117647, 0.313725, 0.431373, 0.137255, 0.000000, 0.049505, 0.059406, 0.009901, 0.029703, 0.059406, 0.188119, 0.039604, 0.069307, 0.158416, 0.158416, 0.049505, 0.009901, 0.049505, 0.029703, 0.039604, 0.745098, 1.375000, 102.000000, 40.000000, 0.392157, 0.175000, 0.675000, 0.150000, 0.058333, 0.225000, 0.050000, 0.042553, 0.212766, 0.276596, 0.106383, 0.000000, 0.021277, 0.042553, 0.021277, 0.010638, 0.021277, 0.021277, 0.010638, 0.000000, 0.000000, 0.031915, 0.000000, 0.021277, 0.042553, 0.021277, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.010638, 0.000000, 0.021277, 0.000000, 0.021277, 0.021277, 0.021277, 0.000000, -70.800000, -72.700000, 0.045616, 5.670000, 0.018627, 0.132927, -0.694118, -0.931579, -0.231373, -1.770000
mdv1-mir-M11 MI0006989, 0.261538, 0.153846, 0.230769, 0.353846, 0.062500, 0.062500, 0.078125, 0.062500, 0.031250, 0.031250, 0.031250, 0.062500, 0.078125, 0.015625, 0.078125, 0.062500, 0.078125, 0.046875, 0.046875, 0.171875, 0.384615, 1.500000, 65.000000, 22.000000, 0.338462, 0.409091, 0.318182, 0.272727, 0.204545, 0.159091, 0.136364, 0.090909, 0.109091, 0.218182, 0.200000, 0.036364, 0.000000, 0.000000, 0.036364, 0.000000, 0.018182, 0.000000, 0.018182, 0.000000, 0.018182, 0.000000, 0.036364, 0.036364, 0.000000, 0.000000, 0.036364, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.018182, 0.000000, 0.036364, 0.054545, 0.000000, 0.000000, 0.036364, -24.800000, -26.110000, 0.120296, 8.880000, 0.020154, 0.379878, -0.381538, -0.992000, -0.190769, -1.127273
mdv1-mir-M6 MI0005098, 0.233333, 0.225000, 0.250000, 0.291667, 0.075630, 0.058824, 0.033613, 0.067227, 0.033613, 0.042017, 0.067227, 0.075630, 0.092437, 0.025210, 0.050420, 0.084034, 0.025210, 0.100840, 0.100840, 0.067227, 0.475000, 1.111111, 120.000000, 42.000000, 0.350000, 0.428571, 0.428571, 0.142857, 0.085714, 0.085714, 0.028571, 0.110169, 0.067797, 0.127119, 0.135593, 0.025424, 0.016949, 0.042373, 0.033898, 0.008475, 0.042373, 0.000000, 0.059322, 0.008475, 0.000000, 0.016949, 0.016949, 0.016949, 0.050847, 0.016949, 0.033898, 0.000000, 0.016949, 0.016949, 0.000000, 0.025424, 0.000000, 0.016949, 0.000000, 0.033898, 0.025424, 0.016949, 0.016949, -37.300000, -39.560000, 0.025490, 11.630000, 0.018833, 0.258637, -0.310833, -0.654386, -0.062167, -0.888095
